datetime,open,high,low,close,volume
2020-01-20 06:00:00,1.10958,1.10966,1.1094,1.10966,509
2020-01-20 07:00:00,1.10966,1.10989,1.1095,1.1098,451
2020-01-20 08:00:00,1.1098,1.11012,1.10976,1.11006,847
2020-01-20 09:00:00,1.11005,1.11023,1.1094,1.10944,1542
2020-01-20 10:00:00,1.10944,1.10973,1.10888,1.1089,1749
2020-01-20 11:00:00,1.10891,1.10914,1.10822,1.10896,1867
2020-01-20 12:00:00,1.10896,1.10906,1.1083,1.10842,1119
2020-01-20 13:00:00,1.10842,1.10882,1.10841,1.10857,981
2020-01-20 14:00:00,1.10857,1.10872,1.10828,1.10839,878
2020-01-20 15:00:00,1.10839,1.10855,1.10805,1.10836,1152
2020-01-20 16:00:00,1.10836,1.10846,1.10792,1.10821,983
2020-01-20 17:00:00,1.10821,1.10852,1.10767,1.10828,1207
2020-01-20 18:00:00,1.10828,1.10861,1.10811,1.1084,1061
2020-01-20 19:00:00,1.1084,1.10868,1.10831,1.10834,543
2020-01-20 20:00:00,1.10834,1.10906,1.10824,1.10892,3259
2020-01-20 21:00:00,1.10891,1.1092,1.10876,1.10918,1224
2020-01-20 22:00:00,1.10917,1.1098,1.10915,1.10976,1505
2020-01-20 23:00:00,1.10976,1.10979,1.10941,1.1095,1010
2020-01-21 00:00:00,1.10939,1.10976,1.10934,1.10969,418
2020-01-21 01:00:00,1.10966,1.10968,1.10934,1.10962,594
2020-01-21 02:00:00,1.10962,1.10968,1.1091,1.10924,651
2020-01-21 03:00:00,1.10924,1.10931,1.10888,1.10905,1362
2020-01-21 04:00:00,1.10906,1.10964,1.10906,1.10958,947
2020-01-21 05:00:00,1.10958,1.10987,1.10942,1.10974,944
2020-01-21 06:00:00,1.10974,1.10994,1.10946,1.10993,609
2020-01-21 07:00:00,1.10992,1.10994,1.10951,1.10954,571
2020-01-21 08:00:00,1.10954,1.10974,1.10938,1.10942,1084
2020-01-21 09:00:00,1.10941,1.10968,1.10916,1.10922,1925
2020-01-21 10:00:00,1.10922,1.10963,1.10864,1.10904,2494
2020-01-21 11:00:00,1.10904,1.10936,1.10856,1.10906,2193
2020-01-21 12:00:00,1.10907,1.111,1.109,1.11038,2614
2020-01-21 13:00:00,1.11038,1.11101,1.11018,1.11054,1704
2020-01-21 14:00:00,1.11055,1.1109,1.10996,1.1108,1351
2020-01-21 15:00:00,1.11084,1.1118,1.11077,1.11138,2379
2020-01-21 16:00:00,1.11136,1.11138,1.11016,1.1103,2081
2020-01-21 17:00:00,1.1103,1.11038,1.10889,1.10976,2332
2020-01-21 18:00:00,1.10978,1.10998,1.1092,1.10958,1606
2020-01-21 19:00:00,1.10958,1.10964,1.10903,1.10918,871
2020-01-21 20:00:00,1.10918,1.1095,1.10895,1.10924,1521
2020-01-21 21:00:00,1.10924,1.10952,1.10916,1.10948,935
2020-01-21 22:00:00,1.10948,1.10953,1.10872,1.10872,716
2020-01-21 23:00:00,1.10872,1.10882,1.1081,1.1082,695
2020-01-22 00:00:00,1.10818,1.10841,1.10808,1.10827,456
2020-01-22 01:00:00,1.10828,1.10857,1.10826,1.10851,844
2020-01-22 02:00:00,1.10851,1.10869,1.10824,1.10828,712
2020-01-22 03:00:00,1.10828,1.10838,1.10776,1.10818,867
2020-01-22 04:00:00,1.10818,1.10824,1.10773,1.10804,1104
2020-01-22 05:00:00,1.10804,1.10839,1.10798,1.10815,626
2020-01-22 06:00:00,1.10815,1.1083,1.10808,1.10825,289
